,movieId,Title
0,1,Toy Story
1,2,Jumanji
2,3,Grumpier Old Men
3,4,Waiting to Exhale
4,5,Father of the Bride Part II
5,6,Heat
6,7,Sabrina
7,8,Tom and Huck
8,9,Sudden Death
9,10,GoldenEye
10,11,The American President
11,12,Dracula: Dead and Loving It
12,13,Balto
13,14,Nixon
14,15,Cutthroat Island
15,16,Casino
16,17,Sense and Sensibility
17,18,Four Rooms
18,19,Ace Ventura: When Nature Calls
19,20,Money Train
20,21,Get Shorty
21,22,Copycat
22,23,Assassins
23,24,Powder
24,25,Leaving Las Vegas
25,26,Othello
26,27,Now and Then
27,28,Persuasion
28,29,The City of Lost Children
29,30,Shanghai Triad
30,31,Dangerous Minds
31,32,Twelve Monkeys
32,33,Wings of Courage
33,34,Babe
34,35,Carrington
35,36,Dead Man Walking
36,37,Across the Sea of Time
37,38,It Takes Two
38,39,Clueless
39,40,"Cry, the Beloved Country"
40,41,Richard III
41,42,Dead Presidents
42,43,Restoration
43,44,Mortal Kombat
44,45,To Die For
45,46,How to Make an American Quilt
46,47,Seven
47,48,Pocahontas
48,49,When Night Is Falling
49,50,The Usual Suspects
50,52,Mighty Aphrodite
51,53,Lamerica
52,54,The Big Green
53,55,Georgia
54,56,Kids of the Round Table
55,57,Home for the Holidays
56,58,The Postman
57,59,The Confessional
58,60,The Indian in the Cupboard
59,61,Eye for an Eye
60,62,Mr. Holland's Opus
61,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
62,64,Two if by Sea
63,65,Bio-Dome
64,66,Lawnmower Man 2: Beyond Cyberspace
65,67,Two Bits
66,68,French Twist
67,69,Friday
68,70,From Dusk Till Dawn
69,71,Fair Game
70,72,Kicking and Screaming
71,73,"Misérables, Les"
72,74,Bed of Roses
73,75,Big Bully
74,76,Screamers
75,77,Nico Icon
76,78,The Crossing Guard
77,79,The Juror
78,80,The White Balloon
79,81,Things to Do in Denver When You're Dead
80,82,Antonia's Line
81,83,Once Upon a Time... When We Were Colored
82,84,Last Summer in the Hamptons
83,85,Angels and Insects
84,86,White Squall
85,87,Dunston Checks In
86,88,Black Sheep
87,89,Nick of Time
88,90,The Journey of August King
89,92,Mary Reilly
